All Order,Order per task,Code snippet,Participant,Task,Participant/Task,Task Duration,Understand,Correntness,Level of investment,Rough Direction,Statement Selection,Code Interaction,"Level of investment, Rough Direction","Level of investment, Statement Selection","Level of investment, Code Interaction","Rough Direction, Statement Selection","Rough Direction, Code Interaction","Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection","Level of investment, Rough Direction, Code Interaction","Level of investment, Statement Selection, Code Interaction","Rough Direction, Statement Selection, Code Interaction","Level of investment, Rough Direction, Statement Selection, Code Interaction",Time,Start,Stop,Block Duration,%(Block Duration),Intent
356,2,Graph Utils,40,2,40/2,118,1,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,31-60,31,60,29,0.2457627119,Get the understanding of a part of code block
357,3,Graph Utils,40,2,40/2,118,1,1,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,60-72,60,72,12,0.1016949153,Get the understanding of a part of code block
358,4,Graph Utils,40,2,40/2,118,1,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,72-87,72,87,15,0.1271186441,Get the understanding of a part of code block
360,6,Graph Utils,40,2,40/2,118,1,1,Quick,Back and forth,Dynamic,,"Quick, Back and forth","Quick, Dynamic",,"Back and forth, Dynamic",,,"Quick, Back and forth, Dynamic",,,,,104-118,104,118,14,0.1186440678,Get a quick overview of the code
362,2,Graph Utils,46,3,46/3,490,0,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,32-110,32,110,78,0.1591836735,Get the understanding of a part of code block
364,4,Graph Utils,46,3,46/3,490,0,1,Quick,Back and forth,Dynamic,,"Quick, Back and forth","Quick, Dynamic",,"Back and forth, Dynamic",,,"Quick, Back and forth, Dynamic",,,,,187-240,187,240,53,0.1081632653,Get a quick overview of the code
365,5,Graph Utils,46,3,46/3,490,0,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,240-275,240,275,35,0.07142857143,Get the understanding of a part of code block
367,7,Graph Utils,46,3,46/3,490,0,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,310-350,310,350,40,0.08163265306,Get the understanding of a part of code block
368,8,Graph Utils,46,3,46/3,490,0,1,Quick,Back and forth,Dynamic,,"Quick, Back and forth","Quick, Dynamic",,"Back and forth, Dynamic",,,"Quick, Back and forth, Dynamic",,,,,350-375,350,375,25,0.05102040816,Get a quick overview of the code
369,9,Graph Utils,46,3,46/3,490,0,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,375-405,375,405,30,0.0612244898,Get the understanding of a part of code block
370,10,Graph Utils,46,3,46/3,490,0,1,Medium,Back and forth,Dynamic,,"Medium, Back and forth","Medium, Dynamic",,"Back and forth, Dynamic",,,"Medium, Back and forth, Dynamic",,,,,405-490,405,490,85,0.1734693878,Get the deeper understanding of the code
372,2,Graph Utils,47,2,47/2,310,1,0,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,48-87,48,87,39,0.1258064516,Get the deeper understanding of the code
373,3,Graph Utils,47,2,47/2,310,1,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,87-160,87,160,73,0.235483871,Get the understanding of a part of code block
374,4,Graph Utils,47,2,47/2,310,1,0,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,160-200,160,200,40,0.1290322581,Get the deeper understanding of the code
375,5,Graph Utils,47,2,47/2,310,1,0,Quick,Forward,Dynamic,,"Quick, Forward","Quick, Dynamic",,"Forward, Dynamic",,,"Quick, Forward, Dynamic",,,,,200-227,200,227,27,0.08709677419,Get a quick overview of the code
376,6,Graph Utils,47,2,47/2,310,1,0,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,227-273,227,273,46,0.1483870968,Formulate a hypothesis of the problematic area (PA)
377,7,Graph Utils,47,2,47/2,310,1,0,Quick,Forward,Dynamic,,"Quick, Forward","Quick, Dynamic",,"Forward, Dynamic",,,"Quick, Forward, Dynamic",,,,,273-283,273,283,10,0.03225806452,Validate the hypothesis of PA
378,8,Graph Utils,47,2,47/2,310,1,0,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,285-288,285,288,3,0.009677419355,Get the understanding of a part of code block
379,1,Calculation,85,3,85/3,103,1,0,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",0-37,0,37,37,0.359223301,Get the deeper understanding of the code
380,2,Calculation,85,3,85/3,103,1,0,Quick,Backward,Dynamic,Intra procedure,"Quick, Backward","Quick, Dynamic","Quick, Intra procedure","Backward, Dynamic","Backward, Intra procedure","Dynamic, Intra procedure","Quick, Backward, Dynamic","Quick, Backward, Intra procedure","Quick, Dynamic, Intra procedure","Backward, Dynamic, Intra procedure","Quick, Backward, Dynamic, Intra procedure",37-67,37,67,30,0.2912621359,Get the understanding of a part of code block
381,3,Calculation,85,3,85/3,103,1,0,Quick,Back and forth,Dynamic,Inter procedure,"Quick, Back and forth","Quick, Dynamic","Quick, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Quick, Back and forth, Dynamic","Quick, Back and forth, Inter procedure","Quick, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Quick, Back and forth, Dynamic, Inter procedure",67-85,67,85,18,0.1747572816,Get a quick overview of the code
382,4,Rectangle,85,3,85/3,103,1,0,Quick,Forward,Dynamic,Inter procedure,"Quick, Forward","Quick, Dynamic","Quick, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Quick, Forward, Dynamic","Quick, Forward, Inter procedure","Quick, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Quick, Forward, Dynamic, Inter procedure",85-103,85,103,18,0.1747572816,Formulate a hypothesis of the problematic area (PA)
383,1,Money Class,92,1,92/1,36,0.5,1,Medium,Forward,Linear,,"Medium, Forward","Medium, Linear",,"Forward, Linear",,,"Medium, Forward, Linear",,,,,0-17,0,17,17,0.4722222222,Get the deeper understanding of the code
384,2,Money Class,92,1,92/1,36,0.5,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,17-23,17,23,6,0.1666666667,Formulate a hypothesis of the problematic area (PA)
386,4,Money Class,92,1,92/1,36,0.5,1,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,29-36,29,36,7,0.1944444444,Validate the hypothesis of PA
387,1,Insertion Sort,92,2,92/2,171,0.5,0,Medium,Forward,Linear,Intra procedure,"Medium, Forward","Medium, Linear","Medium, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Medium, Forward, Linear","Medium, Forward, Intra procedure","Medium, Linear, Intra procedure","Forward, Linear, Intra procedure","Medium, Forward, Linear, Intra procedure",0-20,0,20,20,0.1169590643,Get the understanding of a part of code block
388,2,Insertion Sort,92,2,92/2,171,0.5,0,Medium,In the order of definition,Dynamic,Inter procedure,"Medium, In the order of definition","Medium, Dynamic","Medium, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, In the order of definition, Dynamic","Medium, In the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Medium, In the order of definition, Dynamic, Inter procedure",20-64,20,64,44,0.2573099415,Get the deeper understanding of the code
389,3,Insertion Sort,92,2,92/2,171,0.5,0,Medium,Reverse the order of definition,Dynamic,Inter procedure,"Medium, Reverse the order of definition","Medium, Dynamic","Medium, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic","Medium, Reverse the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic, Inter procedure",64-95,64,95,31,0.1812865497,Get the understanding of a part of code block
390,4,Insertion Sort,92,2,92/2,171,0.5,0,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",95-133,95,133,38,0.2222222222,Formulate a hypothesis of the problematic area (PA)
391,1,Number Checker,93,4,93/4,38,1,1,Quick,Reverse the order of definition,Linear,Inter procedure,"Quick, Reverse the order of definition","Quick, Linear","Quick, Inter procedure","Reverse the order of definition, Linear","Reverse the order of definition, Inter procedure","Linear, Inter procedure","Quick, Reverse the order of definition, Linear","Quick, Reverse the order of definition, Inter procedure","Quick, Linear, Inter procedure","Reverse the order of definition, Linear, Inter procedure","Quick, Reverse the order of definition, Linear, Inter procedure",0-3,0,3,3,0.07894736842,Get a quick overview of the code
392,2,Number Checker,93,4,93/4,38,1,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",3-18,3,18,15,0.3947368421,Get the understanding of a part of code block
393,3,Number Checker,93,4,93/4,38,1,1,Medium,Backward,Dynamic,Intra procedure,"Medium, Backward","Medium, Dynamic","Medium, Intra procedure","Backward, Dynamic","Backward, Intra procedure","Dynamic, Intra procedure","Medium, Backward, Dynamic","Medium, Backward, Intra procedure","Medium, Dynamic, Intra procedure","Backward, Dynamic, Intra procedure","Medium, Backward, Dynamic, Intra procedure",18-23,18,23,5,0.1315789474,Formulate a hypothesis of the problematic area (PA)
394,4,Number Checker,93,4,93/4,38,1,1,Medium,Back and forth,Dynamic,Intra procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Intra procedure","Back and forth, Dynamic","Back and forth, Intra procedure","Dynamic, Intra procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Intra procedure","Medium, Dynamic, Intra procedure","Back and forth, Dynamic, Intra procedure","Medium, Back and forth, Dynamic, Intra procedure",23-38,23,38,15,0.3947368421,Validate the hypothesis of PA
395,1,Insertion Sort,97,1,97/1,306,0.5,1,Quick,Backward,Dynamic,Inter procedure,"Quick, Backward","Quick, Dynamic","Quick, Inter procedure","Backward, Dynamic","Backward, Inter procedure","Dynamic, Inter procedure","Quick, Backward, Dynamic","Quick, Backward, Inter procedure","Quick, Dynamic, Inter procedure","Backward, Dynamic, Inter procedure","Quick, Backward, Dynamic, Inter procedure",0-18,0,18,18,0.05882352941,Get the understanding of a part of code block
396,2,Insertion Sort,97,1,97/1,306,0.5,1,Medium,Forward,Dynamic,Intra procedure,"Medium, Forward","Medium, Dynamic","Medium, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Medium, Forward, Dynamic","Medium, Forward, Intra procedure","Medium, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Medium, Forward, Dynamic, Intra procedure",18-76,18,76,58,0.1895424837,Get the understanding of a part of code block
397,3,Insertion Sort,97,1,97/1,306,0.5,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",76-150,76,150,74,0.2418300654,Understand the method call progression
398,4,Insertion Sort,97,1,97/1,306,0.5,1,Medium,Forward,Linear,Intra procedure,"Medium, Forward","Medium, Linear","Medium, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Medium, Forward, Linear","Medium, Forward, Intra procedure","Medium, Linear, Intra procedure","Forward, Linear, Intra procedure","Medium, Forward, Linear, Intra procedure",150-222,150,222,72,0.2352941176,Get the understanding of a part of code block
399,5,Insertion Sort,97,1,97/1,306,0.5,1,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",222-306,222,306,84,0.2745098039,Get the understanding of a part of code block
400,1,Money Class,99,2,99/2,64,1,1,Quick,Backward,Dynamic,,"Quick, Backward","Quick, Dynamic",,"Backward, Dynamic",,,"Quick, Backward, Dynamic",,,,,0-19,0,19,19,0.296875,Get a quick overview of the code
401,2,Money Class,99,2,99/2,64,1,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,19-33,19,33,14,0.21875,Get the understanding of a part of code block
402,3,Money Class,99,2,99/2,64,1,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,33-49,33,49,16,0.25,Formulate a hypothesis of the problematic area (PA)
403,4,Money Class,99,2,99/2,64,1,1,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,49-64,49,64,15,0.234375,Validate the hypothesis of PA
404,1,Number Checker,101,1,101/1,90,1,1,Quick,Backward,Dynamic,Intra procedure,"Quick, Backward","Quick, Dynamic","Quick, Intra procedure","Backward, Dynamic","Backward, Intra procedure","Dynamic, Intra procedure","Quick, Backward, Dynamic","Quick, Backward, Intra procedure","Quick, Dynamic, Intra procedure","Backward, Dynamic, Intra procedure","Quick, Backward, Dynamic, Intra procedure",0-3,0,3,3,0.03333333333,Get the understanding of a part of code block
405,2,Number Checker,101,1,101/1,90,1,1,Medium,In the order of definition,Linear,Intra procedure,"Medium, In the order of definition","Medium, Linear","Medium, Intra procedure","In the order of definition, Linear","In the order of definition, Intra procedure","Linear, Intra procedure","Medium, In the order of definition, Linear","Medium, In the order of definition, Intra procedure","Medium, Linear, Intra procedure","In the order of definition, Linear, Intra procedure","Medium, In the order of definition, Linear, Intra procedure",3-46,3,46,43,0.4777777778,Get the deeper understanding of the code
406,3,Number Checker,101,1,101/1,90,1,1,Medium,Back and forth the order of denifition,Dynamic,Intra procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Intra procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Intra procedure","Dynamic, Intra procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Intra procedure","Medium, Dynamic, Intra procedure","Back and forth the order of denifition, Dynamic, Intra procedure","Medium, Back and forth the order of denifition, Dynamic, Intra procedure",46-64,46,64,18,0.2,Formulate a hypothesis of the problematic area (PA)
407,4,Number Checker,101,1,101/1,90,1,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",64-90,64,90,26,0.2888888889,Validate the hypothesis of PA
408,1,Money Class,104,1,104/1,40,1,1,Quick,Forward,Dynamic,,"Quick, Forward","Quick, Dynamic",,"Forward, Dynamic",,,"Quick, Forward, Dynamic",,,,,0-5,0,5,5,0.125,Get a quick overview of the code
409,2,Money Class,104,1,104/1,40,1,1,Indepth,Forward,Dynamic,,"Indepth, Forward","Indepth, Dynamic",,"Forward, Dynamic",,,"Indepth, Forward, Dynamic",,,,,5-11,5,11,6,0.15,Get the understanding of a part of code block
410,3,Money Class,104,1,104/1,40,1,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,11-19,11,19,8,0.2,Formulate a hypothesis of the problematic area (PA)
411,4,Money Class,104,1,104/1,40,1,1,Medium,Forward,Dynamic,,"Medium, Forward","Medium, Dynamic",,"Forward, Dynamic",,,"Medium, Forward, Dynamic",,,,,19-40,19,40,21,0.525,Validate the hypothesis of PA
412,1,Insertion Sort,105,2,105/2,132,0.5,1,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",0-12,0,12,12,0.09090909091,Get the deeper understanding of the code
413,2,Insertion Sort,105,2,105/2,132,0.5,1,Medium,Back and forth,Dynamic,Inter procedure,"Medium, Back and forth","Medium, Dynamic","Medium, Inter procedure","Back and forth, Dynamic","Back and forth, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth, Dynamic","Medium, Back and forth, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth, Dynamic, Inter procedure","Medium, Back and forth, Dynamic, Inter procedure",12-21,12,21,9,0.06818181818,Get the understanding of a part of code block
414,3,Insertion Sort,105,2,105/2,132,0.5,1,Medium,Back and forth the order of denifition,Dynamic,Inter procedure,"Medium, Back and forth the order of denifition","Medium, Dynamic","Medium, Inter procedure","Back and forth the order of denifition, Dynamic","Back and forth the order of denifition, Inter procedure","Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic","Medium, Back and forth the order of denifition, Inter procedure","Medium, Dynamic, Inter procedure","Back and forth the order of denifition, Dynamic, Inter procedure","Medium, Back and forth the order of denifition, Dynamic, Inter procedure",21-33,21,33,12,0.09090909091,Get the deeper understanding of the code
415,4,Insertion Sort,105,2,105/2,132,0.5,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",33-87,33,87,54,0.4090909091,Get the deeper understanding of the code
416,5,Insertion Sort,105,2,105/2,132,0.5,1,Indepth,Backward,Dynamic,Intra procedure,"Indepth, Backward","Indepth, Dynamic","Indepth, Intra procedure","Backward, Dynamic","Backward, Intra procedure","Dynamic, Intra procedure","Indepth, Backward, Dynamic","Indepth, Backward, Intra procedure","Indepth, Dynamic, Intra procedure","Backward, Dynamic, Intra procedure","Indepth, Backward, Dynamic, Intra procedure",87-111,87,111,24,0.1818181818,Formulate a hypothesis of the problematic area (PA)
417,6,Insertion Sort,105,2,105/2,132,0.5,1,Medium,Forward,Dynamic,Inter procedure,"Medium, Forward","Medium, Dynamic","Medium, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Medium, Forward, Dynamic","Medium, Forward, Inter procedure","Medium, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Medium, Forward, Dynamic, Inter procedure",111-132,111,132,21,0.1590909091,Validate the hypothesis of PA
418,1,Money Class,105,3,105/3,33,1,1,Medium,Backward,Linear,,"Medium, Backward","Medium, Linear",,"Backward, Linear",,,"Medium, Backward, Linear",,,,,0-11,0,11,11,0.3333333333,Understand the problem output
419,2,Money Class,105,3,105/3,33,1,1,Indepth,Back and forth,Dynamic,,"Indepth, Back and forth","Indepth, Dynamic",,"Back and forth, Dynamic",,,"Indepth, Back and forth, Dynamic",,,,,11-22,11,22,11,0.3333333333,Formulate a hypothesis of the problematic area (PA)
420,3,Money Class,105,3,105/3,33,1,1,Medium,Backward,Dynamic,,"Medium, Backward","Medium, Dynamic",,"Backward, Dynamic",,,"Medium, Backward, Dynamic",,,,,22-33,22,33,11,0.3333333333,Validate the hypothesis of PA
421,1,Number Checker,105,4,105/4,30,1,1,Medium,Backward,Dynamic,Intra procedure,"Medium, Backward","Medium, Dynamic","Medium, Intra procedure","Backward, Dynamic","Backward, Intra procedure","Dynamic, Intra procedure","Medium, Backward, Dynamic","Medium, Backward, Intra procedure","Medium, Dynamic, Intra procedure","Backward, Dynamic, Intra procedure","Medium, Backward, Dynamic, Intra procedure",0-5,0,5,5,0.1666666667,Get the understanding of a part of code block
422,2,Number Checker,105,4,105/4,30,1,1,Indepth,Forward,Dynamic,Inter procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Inter procedure","Forward, Dynamic","Forward, Inter procedure","Dynamic, Inter procedure","Indepth, Forward, Dynamic","Indepth, Forward, Inter procedure","Indepth, Dynamic, Inter procedure","Forward, Dynamic, Inter procedure","Indepth, Forward, Dynamic, Inter procedure",5-19,5,19,14,0.4666666667,Get the deeper understanding of the code
423,3,Number Checker,105,4,105/4,30,1,1,Indepth,Forward,Dynamic,Intra procedure,"Indepth, Forward","Indepth, Dynamic","Indepth, Intra procedure","Forward, Dynamic","Forward, Intra procedure","Dynamic, Intra procedure","Indepth, Forward, Dynamic","Indepth, Forward, Intra procedure","Indepth, Dynamic, Intra procedure","Forward, Dynamic, Intra procedure","Indepth, Forward, Dynamic, Intra procedure",19-30,19,30,11,0.3666666667,Formulate a hypothesis of the problematic area (PA)
424,1,Rectangle,85,2,85/2,171,1,1,Quick,Back and forth,Dynamic,Intra procedure,"Quick, Back and forth","Quick, Dynamic","Quick, Intra procedure","Back and forth, Dynamic","Back and forth, Intra procedure","Dynamic, Intra procedure","Quick, Back and forth, Dynamic","Quick, Back and forth, Intra procedure","Quick, Dynamic, Intra procedure","Back and forth, Dynamic, Intra procedure","Quick, Back and forth, Dynamic, Intra procedure",0-6,0,6,6,0.0350877193,Get the understanding of a part of code block
425,2,Rectangle,85,2,85/2,171,1,1,Quick,In the order of definition,Dynamic,Inter procedure,"Quick, In the order of definition","Quick, Dynamic","Quick, Inter procedure","In the order of definition, Dynamic","In the order of definition, Inter procedure","Dynamic, Inter procedure","Quick, In the order of definition, Dynamic","Quick, In the order of definition, Inter procedure","Quick, Dynamic, Inter procedure","In the order of definition, Dynamic, Inter procedure","Quick, In the order of definition, Dynamic, Inter procedure",6-50,6,50,44,0.2573099415,Get a quick overview of the code
426,3,Rectangle,85,2,85/2,171,1,1,Indepth,Reverse the order of definition,Dynamic,Inter procedure,"Indepth, Reverse the order of definition","Indepth, Dynamic","Indepth, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Indepth, Reverse the order of definition, Dynamic","Indepth, Reverse the order of definition, Inter procedure","Indepth, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Indepth, Reverse the order of definition, Dynamic, Inter procedure",50-85,50,85,35,0.2046783626,Get the deeper understanding of the code
427,4,Rectangle,85,2,85/2,171,1,1,Medium,Reverse the order of definition,Dynamic,Inter procedure,"Medium, Reverse the order of definition","Medium, Dynamic","Medium, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic","Medium, Reverse the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic, Inter procedure",85-138,85,138,53,0.3099415205,Formulate a hypothesis of the problematic area (PA)
428,5,Rectangle,85,2,85/2,171,1,1,Medium,Reverse the order of definition,Dynamic,Inter procedure,"Medium, Reverse the order of definition","Medium, Dynamic","Medium, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic","Medium, Reverse the order of definition, Inter procedure","Medium, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Medium, Reverse the order of definition, Dynamic, Inter procedure",138-171,138,171,33,0.1929824561,Validate the hypothesis of PA
430,2,Number Checker,97,2,97/2,104,1,1,Quick,Reverse the order of definition,Dynamic,Inter procedure,"Quick, Reverse the order of definition","Quick, Dynamic","Quick, Inter procedure","Reverse the order of definition, Dynamic","Reverse the order of definition, Inter procedure","Dynamic, Inter procedure","Quick, Reverse the order of definition, Dynamic","Quick, Reverse the order of definition, Inter procedure","Quick, Dynamic, Inter procedure","Reverse the order of definition, Dynamic, Inter procedure","Quick, Reverse the order of definition, Dynamic, Inter procedure",4-12,4,12,8,0.07692307692,Get a quick overview of the code
431,3,Number Checker,97,2,97/2,104,1,1,Quick,Forward,Linear,Inter procedure,"Quick, Forward","Quick, Linear","Quick, Inter procedure","Forward, Linear","Forward, Inter procedure","Linear, Inter procedure","Quick, Forward, Linear","Quick, Forward, Inter procedure","Quick, Linear, Inter procedure","Forward, Linear, Inter procedure","Quick, Forward, Linear, Inter procedure",12-37,12,37,25,0.2403846154,Understand the method call progression
432,4,Number Checker,97,2,97/2,104,1,1,Quick,Forward,Linear,Inter procedure,"Quick, Forward","Quick, Linear","Quick, Inter procedure","Forward, Linear","Forward, Inter procedure","Linear, Inter procedure","Quick, Forward, Linear","Quick, Forward, Inter procedure","Quick, Linear, Inter procedure","Forward, Linear, Inter procedure","Quick, Forward, Linear, Inter procedure",37-60,37,60,23,0.2211538462,Get the understanding of a part of code block
433,5,Number Checker,97,2,97/2,104,1,1,Indepth,Forward,Linear,Intra procedure,"Indepth, Forward","Indepth, Linear","Indepth, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Indepth, Forward, Linear","Indepth, Forward, Intra procedure","Indepth, Linear, Intra procedure","Forward, Linear, Intra procedure","Indepth, Forward, Linear, Intra procedure",60-82,60,82,22,0.2115384615,Get the understanding of a part of code block
434,6,Number Checker,97,2,97/2,104,1,1,Quick,Forward,Linear,Intra procedure,"Quick, Forward","Quick, Linear","Quick, Intra procedure","Forward, Linear","Forward, Intra procedure","Linear, Intra procedure","Quick, Forward, Linear","Quick, Forward, Intra procedure","Quick, Linear, Intra procedure","Forward, Linear, Intra procedure","Quick, Forward, Linear, Intra procedure",82-104,82,104,22,0.2115384615,Get a quick overview of the code
